,ticker_fpt,ticker_cophieu68
0,A32,A32
1,AAA,AAA
2,AAM,AAM
3,AAS,AAS
4,AAT,AAT
5,AAV,AAV
6,ABB,ABB
7,ABC,ABC
8,ABI,ABI
9,ABR,ABR
10,ABS,ABS
11,ABT,ABT
12,ACB,AC4
13,ACC,ACB
14,ACE,ACC
15,ACG,ACE
16,ACL,ACG
17,ACM,ACL
18,ACS,ACM
19,ACV,ACS
20,ADC,ACV
21,ADG,ADC
22,ADP,ADG
23,ADS,ADP
24,AFX,ADS
25,AG1,AFX
26,AGE,AG1
27,AGF,AGF
28,AGG,AGG
29,AGM,AGM
30,AGP,AGP
31,AGR,AGR
32,AGX,AGX
33,AIC,AIC
34,ALT,ALT
35,ALV,ALV
36,AMC,AMC
37,AMD,AMD
38,AME,AME
39,AMP,AMP
40,AMS,AMS
41,AMV,AMV
42,ANT,ANT
43,ANV,ANV
44,APC,APC
45,APF,APF
46,APG,APG
47,APH,APH
48,API,API
49,APL,APL
50,APP,APP
51,APS,APS
52,APT,APT
53,ARM,AQN
54,ART,ARM
55,ASA,ART
56,ASG,ASA
57,ASM,ASD
58,ASP,ASG
59,AST,ASM
60,ATA,ASP
61,ATB,AST
62,ATG,ATA
63,ATS,ATB
64,AUM,ATD
65,AVC,ATG
66,AVF,ATS
67,B82,AUM
68,BAB,AVC
69,BAF,AVF
70,BAL,B82
71,BAX,BAB
72,BBC,BAF
73,BBH,BAL
74,BBM,BAX
75,BBS,BBC
76,BBT,BBH
77,BCA,BBM
78,BCB,BBS
79,BCC,BBT
80,BCE,BCA
81,BCF,BCB
82,BCG,BCC
83,BCM,BCE
84,BCP,BCF
85,BCV,BCG
86,BDB,BCM
87,BDG,BCP
88,BDT,BCV
89,BDW,BDB
90,BED,BDG
91,BEL,BDT
92,BFC,BDW
93,BGW,BED
94,BHA,BEL
95,BHC,BFC
96,BHG,BGW
97,BHK,BHA
98,BHN,BHC
99,BHP,BHG
100,BHT,BHK
101,BIC,BHN
102,BID,BHP
103,BIG,BHT
104,BII,BIC
105,BIO,BID
106,BKC,BIG
107,BKG,BII
108,BKH,BIO
109,BLF,BKC
110,BLI,BKG
111,BLN,BKH
112,BLT,BLF
113,BLW,BLI
114,BMC,BLN
115,BMD,BLT
116,BMF,BLU
117,BMG,BLW
118,BMI,BMC
119,BMJ,BMD
120,BMN,BMF
121,BMP,BMG
122,BMS,BMI
123,BMV,BMJ
124,BNA,BMN
125,BNW,BMP
126,BOT,BMS
127,BPC,BMV
128,BQB,BNA
129,BRC,BNW
130,BRR,BOT
131,BRS,BPC
132,BSA,BPW
133,BSC,BQB
134,BSD,BRC
135,BSG,BRR
136,BSH,BRS
137,BSI,BSA
138,BSL,BSC
139,BSP,BSD
140,BSQ,BSG
141,BSR,BSH
142,BST,BSI
143,BT1,BSL
144,BT6,BSP
145,BTB,BSQ
146,BTD,BSR
147,BTG,BST
148,BTH,BT1
149,BTN,BT6
150,BTP,BTB
151,BTS,BTD
152,BTT,BTG
153,BTU,BTH
154,BTV,BTN
155,BTW,BTP
156,BVB,BTR
157,BVG,BTS
158,BVH,BTT
159,BVL,BTU
160,BVN,BTV
161,BVS,BTW
162,BWA,BUD
163,BWE,BVB
164,BWS,BVG
165,BXH,BVH
166,C12,BVL
167,C21,BVN
168,C22,BVS
169,C32,BWA
170,C47,BWE
171,C4G,BWS
172,C69,BXH
173,C92,BXT
174,CAB,C12
175,CAD,C21
176,CAG,C22
177,CAN,C32
178,CAP,C36
179,CAR,C47
180,CAT,C4G
181,CAV,C69
182,CBI,C71
183,CBS,C92
184,CC1,CAB
185,CC4,CAD
186,CCA,CAG
187,CCI,CAM
188,CCL,CAN
189,CCM,CAP
190,CCP,CAT
191,CCR,CAV
192,CCT,CBC
193,CCV,CBI
194,CDC,CBS
195,CDG,CC1
196,CDH,CC4
197,CDN,CCA
198,CDO,CCH
199,CDP,CCI
200,CDR,CCL
201,CE1,CCM
202,CEG,CCP
203,CEN,CCR
204,CEO,CCT
205,CET,CCV
206,CFM,CDC
207,CFV,CDG
208,CGV,CDH
209,CH5,CDN
210,CHC,CDO
211,CHP,CDP
212,CHS,CDR
213,CI5,CE1
214,CIA,CEC
215,CID,CEE
216,CIG,CEG
217,CII,CEN
218,CIP,CEO
219,CJC,CET
220,CKA,CFC
221,CKD,CFM
222,CKG,CFV
223,CKV,CGL
224,CLC,CGV
225,CLG,CH5
226,CLH,CHC
227,CLL,CHP
228,CLM,CHS
229,CLW,CI5
230,CLX,CIA
231,CMC,CID
232,CMD,CIG
233,CMF,CII
234,CMG,CIP
235,CMI,CJC
236,CMK,CKA
237,CMN,CKD
238,CMP,CKG
239,CMS,CKH
240,CMT,CKV
241,CMV,CLC
242,CMW,CLG
243,CMX,CLH
244,CNA,CLL
245,CNC,CLM
246,CNG,CLW
247,CNN,CLX
248,CNT,CMC
249,COM,CMD
250,CPA,CMF
251,CPC,CMG
252,CPH,CMI
253,CPI,CMK
254,CQN,CMN
255,CQT,CMP
256,CRC,CMS
257,CRE,CMT
258,CSC,CMV
259,CSI,CMW
260,CSM,CMX
261,CST,CNA
262,CSV,CNC
263,CT3,CNG
264,CT6,CNN
265,CTA,CNT
266,CTB,COM
267,CTC,CPA
268,CTD,CPC
269,CTF,CPH
270,CTG,CPI
271,CTI,CPW
272,CTN,CQN
273,CTP,CQT
274,CTR,CRC
275,CTS,CRE
276,CTT,CSC
