,ticker_id
0,A32
1,AAA
2,AAM
3,AAS
4,AAT
5,AAV
6,ABB
7,ABC
8,ABI
9,ABR
10,ABS
11,ABT
12,ACB
13,ACC
14,ACE
15,ACG
16,ACL
17,ACM
18,ACS
19,ACV
20,ADC
21,ADG
22,ADP
23,ADS
24,AFX
25,AG1
26,AGE
27,AGF
28,AGG
29,AGM
30,AGP
31,AGR
32,AGX
33,AIC
34,ALT
35,ALV
36,AMC
37,AMD
38,AME
39,AMP
40,AMS
41,AMV
42,ANT
43,ANV
44,APC
45,APF
46,APG
47,APH
48,API
49,APL
50,APP
51,APS
52,APT
53,ARM
54,ART
55,ASA
56,ASG
57,ASM
58,ASP
59,AST
60,ATA
61,ATB
62,ATG
63,ATS
64,AUM
65,AVC
66,AVF
67,B82
68,BAB
69,BAF
70,BAL
71,BAX
72,BBC
73,BBH
74,BBM
75,BBS
76,BBT
77,BCA
78,BCB
79,BCC
80,BCE
81,BCF
82,BCG
83,BCM
84,BCP
85,BCV
86,BDB
87,BDG
88,BDT
89,BDW
90,BED
91,BEL
92,BFC
93,BGW
94,BHA
95,BHC
96,BHG
97,BHK
98,BHN
99,BHP
100,BHT
101,BIC
102,BID
103,BIG
104,BII
105,BIO
106,BKC
107,BKG
108,BKH
109,BLF
110,BLI
111,BLN
112,BLT
113,BLW
114,BMC
115,BMD
116,BMF
117,BMG
118,BMI
119,BMJ
120,BMN
121,BMP
122,BMS
123,BMV
124,BNA
125,BNW
126,BOT
127,BPC
128,BQB
129,BRC
130,BRR
131,BRS
132,BSA
133,BSC
134,BSD
135,BSG
136,BSH
137,BSI
138,BSL
139,BSP
140,BSQ
141,BSR
142,BST
143,BT1
144,BT6
145,BTB
146,BTD
147,BTG
148,BTH
149,BTN
150,BTP
151,BTS
152,BTT
153,BTU
154,BTV
155,BTW
156,BVB
157,BVG
158,BVH
159,BVL
160,BVN
161,BVS
162,BWA
163,BWE
164,BWS
165,BXH
166,C12
167,C21
168,C22
169,C32
170,C47
171,C4G
172,C69
173,C92
174,CAB
175,CAD
176,CAG
177,CAN
178,CAP
179,CAR
180,CAT
181,CAV
182,CBI
183,CBS
184,CC1
185,CC4
186,CCA
187,CCI
188,CCL
189,CCM
190,CCP
191,CCR
192,CCT
193,CCV
194,CDC
195,CDG
196,CDH
197,CDN
198,CDO
199,CDP
200,CDR
201,CE1
202,CEG
