,ticker_id
0,000001.SS
1,A32
2,AAA
3,AAM
4,AAS
5,AAT
6,AAV
7,ABB
8,ABC
9,ABI
10,ABR
11,ABS
12,ABT
13,AC4
14,ACB
15,ACC
16,ACE
17,ACG
18,ACL
19,ACM
20,ACS
21,ACV
22,ADC
23,ADG
24,ADP
25,ADS
26,AFX
27,AG1
28,AGF
29,AGG
30,AGM
31,AGP
32,AGR
33,AGX
34,AIC
35,ALT
36,ALV
37,AMC
38,AMD
39,AME
40,AMP
41,AMS
42,AMV
43,ANT
44,ANV
45,APC
46,APF
47,APG
48,APH
49,API
50,APL
51,APP
52,APS
53,APT
54,AQN
55,ARM
56,ART
57,ASA
58,ASD
59,ASG
60,ASM
61,ASP
62,AST
63,ATA
64,ATB
65,ATD
66,ATG
67,ATS
68,AUD-X
69,AUDUSD
70,AUM
71,AVC
72,AVF
73,B82
74,BAB
75,BAF
76,BAL
77,BAX
78,BBC
79,BBH
80,BBM
81,BBS
82,BBT
83,BCA
84,BCB
85,BCC
86,BCE
87,BCF
88,BCG
89,BCM
90,BCP
91,BCV
92,BDB
93,BDG
94,BDT
95,BDW
96,BED
97,BEL
98,BFC
99,BGW
100,BHA
101,BHC
102,BHG
103,BHK
104,BHN
105,BHP
106,BHT
107,BIC
108,BID
109,BIG
110,BII
111,BIO
112,BKC
113,BKG
114,BKH
115,BLF
116,BLI
117,BLN
118,BLT
119,BLU
120,BLW
121,BMC
122,BMD
123,BMF
124,BMG
125,BMI
126,BMJ
127,BMN
128,BMP
129,BMS
130,BMV
131,BNA
132,BNW
133,BOT
134,BPC
135,BPW
136,BQB
137,BRC
138,BRL-X
139,BRR
140,BRS
141,BSA
142,BSC
143,BSD
144,BSG
145,BSH
146,BSI
147,BSL
148,BSP
149,BSQ
150,BSR
151,BST
152,BT1
153,BT6
154,BTB
155,BTCUSD
156,BTCUSD-X
157,BTD
158,BTG
159,BTH
160,BTN
161,BTP
162,BTR
163,BTS
164,BTT
165,BTU
166,BTV
167,BTW
168,BUD
169,BVB
