company_id,ticker_id,code_id,ex,company_name
1987,A32,0,UP,Công ty Cổ phần 32 
856,AAA,0,HO,Công ty Cổ phần Nhựa An Phát Xanh
508,AAM,0,HO,Công ty Cổ phần Thuỷ sản Mekong
2335,AAS,0,UP,Công ty Cổ phần Chứng khoán SmartInvest
2061,AAT,0,HO,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa 
1786,AAV,0,HA,Công ty Cổ phần AAV Group
376,ABB,0,UP,Ngân hàng Thương mại Cổ phần An Bình
1217,ABC,0,UP,Công ty cổ phần truyền thông VMG 
507,ABI,0,UP,Công ty Cổ phần Bảo hiểm Ngân hàng Nông nghiệp
1643,ABR,0,HO,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt
2181,ABS,0,HO,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận
1,ABT,0,HO,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre
2,ACB,0,HO,Ngân hàng Thương mại Cổ phần Á Châu
625,ACC,0,HO,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC
578,ACE,0,UP,Công ty Cổ phần Bê tông Ly tâm An Giang
2594,ACG,0,UP,Công ty Cổ phần Gỗ An Cường
220,ACL,0,HO,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang.
1352,ACM,0,UP,Công ty Cổ phần Tập đoàn Khoáng sản Á Cường
1774,ACS,0,UP,Công ty Cổ phần Xây lắp Thương mại 2
1575,ACV,0,UP,Tổng Công ty Cảng hàng không Việt Nam - CTCP
984,ADC,0,HA,Công ty Cổ phần Mỹ thuật và Truyền Thông
2152,ADG,0,HO,Công ty Cổ phần Clever Group
679,ADP,0,UP,Công ty Cổ phần Sơn Á Đông 
1487,ADS,0,HO,Công ty Cổ phần Damsan
1557,AFX,0,UP,Công ty Cổ phần Xuất nhập khẩu Nông sản Thực phẩm An Giang 
1761,AG1,0,UP,Công ty Cổ phần 28.1 
2041,AGE,0,UP,Công ty Cổ phần Môi trường Đô thị An Giang
3,AGF,0,UP,Công ty Cổ phần Xuất nhập khẩu Thủy sản An Giang
2160,AGG,0,HO,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia
1117,AGM,0,HO,Công ty Cổ phần Xuất nhập khẩu An Giang
1105,AGP,0,UP,Công ty Cổ phần Dược phẩm Agimexpharm
614,AGR,0,HO,Công ty Cổ phần Chứng khoán Agribank
1370,AGX,0,UP,Công ty Cổ phần Thực phẩm Nông sản Xuất khẩu Sài Gòn
2463,AIC,0,UP,Tổng Công ty cổ phần Bảo hiểm Hàng không
4,ALT,0,HA,Công ty Cổ phần Văn hóa Tân Bình
892,ALV,0,UP,Công ty cổ phần Xây dựng ALVICO
1081,AMC,0,HA,Công ty Cổ phần Khoáng Sản Á Châu
1274,AMD,0,HO,Công ty Cổ phần Đầu tư và Khoáng sản FLC STONE
813,AME,0,HA,Công ty Cổ phần Alphanam E&C
1647,AMP,0,UP,Công ty Cổ phần Armephaco
841,AMS,0,UP,Công ty Cổ phần Cơ khí xây dựng AMECC
643,AMV,0,HA,Công ty Cổ phần Sản xuất kinh doanh dược và trang thiết bị Y tế Việt Mỹ 
1088,ANT,0,UP,Công ty Cổ phần Rau quả Thực phẩm An Giang
266,ANV,0,HO,Công ty Cổ phần Nam Việt
683,APC,0,HO,Công ty Cổ phần Chiếu xạ An Phú
1270,APF,0,UP,Công ty Cổ phần Nông sản Thực phẩm Quảng Ngãi
737,APG,0,HO,Công ty Cổ phần Chứng khoán APG
2291,APH,0,HO,Công ty Cổ phần Tập đoàn An Phát Holdings
571,API,0,HA,Công ty Cổ phần Đầu tư Châu Á - Thái Bình Dương
1539,APL,0,UP,Công ty Cổ phần Cơ khí và Thiết bị áp lực - VVMI
927,APP,0,UP,Công ty Cổ phần Phát triển Phụ gia và Sản phẩm Dầu mỏ 
378,APS,0,HA,Công ty Cổ phần Chứng khoán Châu Á Thái Bình Dương
1999,APT,0,UP,Công ty Cổ phần Kinh doanh Thủy Hải Sản Sài Gòn 
906,ARM,0,HA,Công ty Cổ phần Xuất nhập khẩu Hàng không
1633,ART,0,HA,Công ty Cổ phần Chứng khoán BOS
1084,ASA,0,UP,Công ty Cổ phần ASA
2003,ASG,0,HO, Công ty Cổ phần Tập đoàn ASG
645,ASM,0,HO,CTCP Tập Đoàn Sao Mai
317,ASP,0,HO,Công ty Cổ phần Tập đoàn Dầu khí An Pha
1908,AST,0,HO,Công ty Cổ phần Dịch vụ Hàng không Taseco 
537,ATA,0,UP,Công ty Cổ phần NTACO 
1708,ATB,0,UP,Công ty Cổ phần An Thịnh
1503,ATG,0,UP,Công ty Cổ phần An Trường An
1430,ATS,0,HA,Công ty Cổ phần Tập đoàn Dược phẩm Atesco
1160,AUM,0,UP,Công ty Cổ phần Vi Na Ca Fe Sơn Thành
1889,AVC,0,UP,Công ty cổ phần Thủy Điện A Vương
960,AVF,0,UP,Công ty Cổ phần Việt An
326,B82,0,UP,Công ty Cổ phần 482
1859,BAB,0,HA,Ngân hàng Thương mại Cổ phần Bắc Á
2659,BAF,0,HO,Công ty Cổ phần Nông nghiệp BAF Việt Nam
1235,BAL,0,UP,Công ty Cổ phần Bao bì Bia – Rượu – Nước giải khát
1136,BAX,0,HA,Công ty Cổ phần Thống Nhất
5,BBC,0,HO,Công ty Cổ phần Bibica
2249,BBH,0,UP,Công ty cổ phần Bao bì Hoàng Thạch
1902,BBM,0,UP, Công ty cổ phần Bia Hà Nội - Nam Định 
6,BBS,0,HA,Công ty Cổ phần VICEM Bao bì Bút Sơn 
7,BBT,0,UP,Công ty Cổ phần Bông Bạch Tuyết
2592,BCA,0,UP,Công ty Cổ phần B.C.H
2019,BCB,0,UP,Công ty Cổ phần 397 
8,BCC,0,HA,Công ty Cổ phần Xi măng Bỉm Sơn
488,BCE,0,HO,Công ty Cổ phần Xây dựng & Giao thông Bình Dương
2150,BCF,0,HA,Công ty Cổ phần Thực phẩm Bích Chi
1357,BCG,0,HO,Công ty Cổ phần Bamboo Capital
2929,BCG122006,0,HA,Trái phiếu Công ty cổ phần Bamboo Capital
1933,BCM,0,HO,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP
926,BCP,0,UP,Công ty Cổ phần Dược Enlie
2454,BCV,0,UP,Công ty Cổ phần Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico
647,BDB,0,HA,Công ty Cổ phần Sách và Thiết bị Bình Định
1463,BDG,0,UP,Công ty Cổ phần May mặc Bình Dương
1772,BDT,0,UP,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp
1375,BDW,0,UP,Công ty Cổ phần Cấp thoát nước Bình Định
566,BED,0,HA,Công ty Cổ phần Sách và Thiết bị Trường học Đà Nẵng
1437,BEL,0,UP,Công ty Cổ phần Điện tử Biên Hòa
1323,BFC,0,HO,Công ty Cổ phần Phân bón Bình Điền
1718,BGW,0,UP,Công ty Cổ phần nước sạch Bắc Giang
